review_id,customer_id,transaction_id,region,category,rating,review_text,sentiment_label,review_date
REV0000049,GM00779,TXN0009299,North America,Home & Garden,5,The product quality is outstanding and durable.,Positive,2023-01-22
REV0000050,GM03994,TXN0046558,Central Asia,Beauty,4,Super happy with my purchase. Fits perfectly.,Positive,2023-03-19
REV0000051,GM03540,TXN0041356,Central Asia,Home & Garden,4,The product quality is outstanding and durable.,Positive,2024-01-01
REV0000052,GM04942,TXN0057519,MENA,Home & Garden,5,The product quality is outstanding and durable.,Positive,2024-01-16
REV0000053,GM04215,TXN0048973,North America,Electronics,4,Great value for money. Highly recommend to everyone.,Positive,2023-03-27
REV0000054,GM00571,TXN0006770,MENA,Food & Grocery,4,Fast delivery and excellent quality. Will buy again.,Positive,2022-05-28
REV0000055,GM03115,TXN0036575,Europe,Beauty,3,Average quality. Okay for the price.,Neutral,2022-06-26
REV0000056,GM01237,TXN0014525,Southeast Asia,Fashion,5,Absolutely love this product! Exceeded my expectations.,Positive,2023-08-28
REV0000057,GM00037,TXN0000485,Europe,Home & Garden,5,Fast delivery and excellent quality. Will buy again.,Positive,2022-05-18
REV0000058,GM04423,TXN0051399,North America,Electronics,4,Fast delivery and excellent quality. Will buy again.,Positive,2024-04-14
REV0000059,GM00695,TXN0008298,Central Asia,Fashion,4,Absolutely love this product! Exceeded my expectations.,Positive,2022-03-06
REV0000060,GM03285,TXN0038376,MENA,Beauty,5,Super happy with my purchase. Fits perfectly.,Positive,2024-03-03
REV0000061,GM00781,TXN0009315,North America,Beauty,4,Customer service was incredibly helpful and responsive.,Positive,2024-02-20
REV0000062,GM03340,TXN0039068,North America,Electronics,4,Customer service was incredibly helpful and responsive.,Positive,2023-08-10
REV0000063,GM01185,TXN0013950,Central Asia,Electronics,5,Great value for money. Highly recommend to everyone.,Positive,2022-06-11
REV0000064,GM02484,TXN0029097,Europe,Fashion,3,Works fine. Packaging could be improved.,Neutral,2022-07-10
REV0000065,GM01094,TXN0012951,MENA,Electronics,5,Customer service was incredibly helpful and responsive.,Positive,2023-12-23
REV0000066,GM03992,TXN0046524,Europe,Food & Grocery,4,Customer service was incredibly helpful and responsive.,Positive,2022-11-12
REV0000067,GM03061,TXN0035971,Europe,Fashion,1,Terrible customer service. Waited 3 weeks for a response.,Negative,2023-06-30
REV0000068,GM03850,TXN0044846,Central Asia,Electronics,4,Customer service was incredibly helpful and responsive.,Positive,2022-05-22
REV0000069,GM04793,TXN0055724,Central Asia,Electronics,5,Fast delivery and excellent quality. Will buy again.,Positive,2023-12-30
REV0000070,GM02658,TXN0031121,Southeast Asia,Sports,4,Fast delivery and excellent quality. Will buy again.,Positive,2023-11-03
REV0000071,GM01028,TXN0012145,North America,Beauty,4,The product quality is outstanding and durable.,Positive,2024-04-21
REV0000072,GM04343,TXN0050412,North America,Home & Garden,2,Very disappointed. The product broke after one week.,Negative,2022-04-15
REV0000073,GM04127,TXN0048082,North America,Home & Garden,5,Great value for money. Highly recommend to everyone.,Positive,2023-02-19
REV0000074,GM00691,TXN0008250,Europe,Fashion,5,Absolutely love this product! Exceeded my expectations.,Positive,2022-03-29
REV0000075,GM00263,TXN0003266,Europe,Electronics,5,The product quality is outstanding and durable.,Positive,2023-11-28
REV0000076,GM00947,TXN0011240,Europe,Sports,4,Super happy with my purchase. Fits perfectly.,Positive,2023-09-14
REV0000077,GM04175,TXN0048562,Southeast Asia,Sports,3,"Not bad, not great. Expected better for the price.",Neutral,2022-08-12
REV0000078,GM03038,TXN0035673,Southeast Asia,Food & Grocery,4,Fast delivery and excellent quality. Will buy again.,Positive,2022-12-02
REV0000079,GM01465,TXN0017238,Southeast Asia,Beauty,3,Works fine. Packaging could be improved.,Neutral,2022-05-02
REV0000080,GM02658,TXN0031126,Southeast Asia,Home & Garden,5,Super happy with my purchase. Fits perfectly.,Positive,2023-10-19
REV0000081,GM03609,TXN0042133,Southeast Asia,Fashion,3,Works fine. Packaging could be improved.,Neutral,2023-12-10
REV0000082,GM03010,TXN0035375,Central Asia,Electronics,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-12-03
REV0000083,GM04589,TXN0053231,North America,Electronics,5,The product quality is outstanding and durable.,Positive,2023-07-01
REV0000084,GM01164,TXN0013671,North America,Beauty,4,The product quality is outstanding and durable.,Positive,2023-08-25
REV0000085,GM00336,TXN0004149,Central Asia,Beauty,5,Great value for money. Highly recommend to everyone.,Positive,2023-01-25
REV0000086,GM04251,TXN0049427,MENA,Home & Garden,4,Fast delivery and excellent quality. Will buy again.,Positive,2024-04-29
REV0000087,GM03910,TXN0045580,Europe,Fashion,4,Super happy with my purchase. Fits perfectly.,Positive,2022-05-18
REV0000088,GM01630,TXN0019067,MENA,Fashion,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2024-01-21
REV0000089,GM03084,TXN0036184,North America,Beauty,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-10-09
REV0000090,GM01168,TXN0013727,MENA,Fashion,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-04-20
REV0000091,GM03543,TXN0041381,Europe,Beauty,1,Terrible customer service. Waited 3 weeks for a response.,Negative,2023-04-14
REV0000092,GM04489,TXN0052018,North America,Electronics,5,Fast delivery and excellent quality. Will buy again.,Positive,2023-02-19
REV0000093,GM01626,TXN0019022,North America,Beauty,3,Average quality. Okay for the price.,Neutral,2023-02-19
REV0000094,GM04864,TXN0056613,Europe,Food & Grocery,3,Average quality. Okay for the price.,Neutral,2023-06-30
REV0000095,GM01785,TXN0020748,North America,Home & Garden,5,Absolutely love this product! Exceeded my expectations.,Positive,2023-08-11
REV0000096,GM01943,TXN0022507,North America,Home & Garden,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-02-27
REV0000097,GM03121,TXN0036648,Europe,Electronics,5,Super happy with my purchase. Fits perfectly.,Positive,2023-06-29
REV0000098,GM01981,TXN0023060,Europe,Sports,4,Absolutely love this product! Exceeded my expectations.,Positive,2022-01-16
REV0000099,GM03390,TXN0039648,North America,Home & Garden,2,Not as described. Poor quality material. Returning it.,Negative,2022-01-09
REV0000100,GM00439,TXN0005315,North America,Fashion,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-08-30
REV0000101,GM02113,TXN0024599,Europe,Fashion,3,Average quality. Okay for the price.,Neutral,2022-07-29
REV0000102,GM03844,TXN0044720,MENA,Home & Garden,4,The product quality is outstanding and durable.,Positive,2022-10-19
REV0000103,GM00141,TXN0001642,Southeast Asia,Home & Garden,5,The product quality is outstanding and durable.,Positive,2023-09-25
REV0000104,GM01950,TXN0022655,MENA,Sports,5,Fast delivery and excellent quality. Will buy again.,Positive,2024-04-01
REV0000105,GM00439,TXN0005325,North America,Home & Garden,4,Super happy with my purchase. Fits perfectly.,Positive,2023-03-25
REV0000106,GM03707,TXN0043344,North America,Food & Grocery,5,Fast delivery and excellent quality. Will buy again.,Positive,2022-08-07
REV0000107,GM04307,TXN0050057,MENA,Sports,4,Absolutely love this product! Exceeded my expectations.,Positive,2023-07-30
REV0000108,GM00470,TXN0005712,Southeast Asia,Home & Garden,2,Terrible customer service. Waited 3 weeks for a response.,Negative,2022-07-13
REV0000109,GM02185,TXN0025660,North America,Home & Garden,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2024-05-10
REV0000110,GM03281,TXN0038339,MENA,Food & Grocery,2,Would not recommend. Waste of money.,Negative,2023-01-08
REV0000111,GM02678,TXN0031344,Central Asia,Electronics,3,"Not bad, not great. Expected better for the price.",Neutral,2024-05-05
REV0000112,GM01995,TXN0023232,North America,Home & Garden,5,The product quality is outstanding and durable.,Positive,2024-02-22
REV0000113,GM02348,TXN0027520,Europe,Food & Grocery,4,Great value for money. Highly recommend to everyone.,Positive,2022-11-17
REV0000114,GM03275,TXN0038246,North America,Home & Garden,4,Super happy with my purchase. Fits perfectly.,Positive,2024-01-28
REV0000115,GM00570,TXN0006760,Europe,Beauty,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2023-11-23
REV0000116,GM04984,TXN0058105,North America,Home & Garden,5,Fast delivery and excellent quality. Will buy again.,Positive,2023-09-17
REV0000117,GM01235,TXN0014515,North America,Beauty,1,Delivery was extremely late and packaging was damaged.,Negative,2022-01-08
REV0000118,GM03398,TXN0039732,North America,Food & Grocery,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2023-09-09
REV0000119,GM04262,TXN0049585,Southeast Asia,Fashion,1,Very disappointed. The product broke after one week.,Negative,2023-11-22
REV0000120,GM00423,TXN0005147,Central Asia,Beauty,1,Would not recommend. Waste of money.,Negative,2022-10-08
REV0000121,GM03499,TXN0040838,Europe,Beauty,4,The product quality is outstanding and durable.,Positive,2022-12-20
REV0000122,GM00363,TXN0004504,MENA,Sports,3,"Not bad, not great. Expected better for the price.",Neutral,2023-09-25
REV0000123,GM03275,TXN0038261,North America,Home & Garden,4,The product quality is outstanding and durable.,Positive,2023-11-12
REV0000124,GM03195,TXN0037418,Europe,Beauty,4,Great value for money. Highly recommend to everyone.,Positive,2023-01-27
REV0000125,GM04206,TXN0048889,MENA,Sports,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-06-12
REV0000126,GM03089,TXN0036224,North America,Home & Garden,5,Customer service was incredibly helpful and responsive.,Positive,2023-06-20
REV0000127,GM03293,TXN0038479,MENA,Beauty,3,Works fine. Packaging could be improved.,Neutral,2022-07-15
REV0000128,GM00194,TXN0002332,North America,Beauty,4,Customer service was incredibly helpful and responsive.,Positive,2022-10-28
REV0000129,GM03596,TXN0041971,North America,Food & Grocery,4,Customer service was incredibly helpful and responsive.,Positive,2022-05-22
REV0000130,GM04628,TXN0053746,MENA,Sports,1,Would not recommend. Waste of money.,Negative,2022-09-30
REV0000131,GM02463,TXN0028911,North America,Home & Garden,4,The product quality is outstanding and durable.,Positive,2023-10-17
REV0000132,GM00502,TXN0005982,MENA,Food & Grocery,5,The product quality is outstanding and durable.,Positive,2022-12-29
REV0000133,GM01906,TXN0022056,Europe,Food & Grocery,5,Super happy with my purchase. Fits perfectly.,Positive,2022-01-14
REV0000134,GM02790,TXN0032546,Southeast Asia,Fashion,5,Absolutely love this product! Exceeded my expectations.,Positive,2022-12-29
REV0000135,GM02565,TXN0030056,MENA,Food & Grocery,5,Customer service was incredibly helpful and responsive.,Positive,2024-05-25
REV0000136,GM00777,TXN0009259,Europe,Food & Grocery,5,Absolutely love this product! Exceeded my expectations.,Positive,2023-12-03
REV0000137,GM00836,TXN0009977,MENA,Electronics,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2023-11-19
REV0000138,GM03557,TXN0041530,Europe,Fashion,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2023-06-19
REV0000139,GM01614,TXN0018924,Europe,Home & Garden,5,Super happy with my purchase. Fits perfectly.,Positive,2023-01-30
REV0000140,GM01193,TXN0014019,Europe,Food & Grocery,3,Decent product. Does what it says. Nothing special.,Neutral,2022-03-10
REV0000141,GM04573,TXN0053076,Europe,Sports,4,Fast delivery and excellent quality. Will buy again.,Positive,2023-12-30
REV0000142,GM00984,TXN0011754,Central Asia,Electronics,5,Customer service was incredibly helpful and responsive.,Positive,2023-04-23
REV0000143,GM00141,TXN0001633,Southeast Asia,Beauty,5,Customer service was incredibly helpful and responsive.,Positive,2023-11-07
REV0000144,GM00591,TXN0006986,Europe,Sports,3,"Not bad, not great. Expected better for the price.",Neutral,2023-03-03
REV0000145,GM01957,TXN0022724,North America,Sports,5,The product quality is outstanding and durable.,Positive,2023-06-12
REV0000146,GM01265,TXN0014881,Central Asia,Beauty,2,Very disappointed. The product broke after one week.,Negative,2023-03-22
REV0000147,GM00479,TXN0005820,Southeast Asia,Sports,5,Customer service was incredibly helpful and responsive.,Positive,2022-11-15
REV0000148,GM03173,TXN0037138,Europe,Sports,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-12-20
REV0000149,GM04025,TXN0046832,North America,Sports,4,Customer service was incredibly helpful and responsive.,Positive,2022-06-20
REV0000150,GM04840,TXN0056380,Europe,Home & Garden,3,Decent product. Does what it says. Nothing special.,Neutral,2023-01-13
REV0000151,GM00540,TXN0006374,Europe,Home & Garden,1,Terrible customer service. Waited 3 weeks for a response.,Negative,2023-05-18
REV0000152,GM04520,TXN0052438,Central Asia,Food & Grocery,5,Great value for money. Highly recommend to everyone.,Positive,2022-08-28
REV0000153,GM01784,TXN0020714,North America,Food & Grocery,3,"Not bad, not great. Expected better for the price.",Neutral,2024-05-26
REV0000154,GM01853,TXN0021464,Southeast Asia,Food & Grocery,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2023-03-26
REV0000155,GM00887,TXN0010545,North America,Sports,4,Great value for money. Highly recommend to everyone.,Positive,2024-02-16
REV0000156,GM01197,TXN0014091,Southeast Asia,Beauty,4,Super happy with my purchase. Fits perfectly.,Positive,2024-05-02
REV0000157,GM00924,TXN0011000,North America,Food & Grocery,4,Super happy with my purchase. Fits perfectly.,Positive,2023-04-16
REV0000158,GM02947,TXN0034555,MENA,Food & Grocery,4,Great value for money. Highly recommend to everyone.,Positive,2022-05-01
REV0000159,GM00850,TXN0010055,North America,Sports,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-06-23
REV0000160,GM02218,TXN0026037,Europe,Fashion,5,Fast delivery and excellent quality. Will buy again.,Positive,2023-09-13
REV0000161,GM04799,TXN0055812,Europe,Home & Garden,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-03-04
REV0000162,GM01621,TXN0018980,MENA,Food & Grocery,4,Great value for money. Highly recommend to everyone.,Positive,2022-12-27
REV0000163,GM03992,TXN0046522,Europe,Beauty,5,Customer service was incredibly helpful and responsive.,Positive,2022-04-05
REV0000164,GM02220,TXN0026058,Central Asia,Fashion,5,Absolutely love this product! Exceeded my expectations.,Positive,2023-11-12
REV0000165,GM00327,TXN0004058,North America,Fashion,4,The product quality is outstanding and durable.,Positive,2024-02-17
REV0000166,GM03235,TXN0037853,MENA,Sports,5,Customer service was incredibly helpful and responsive.,Positive,2022-03-20
REV0000167,GM00230,TXN0002894,North America,Beauty,4,Fast delivery and excellent quality. Will buy again.,Positive,2023-08-14
REV0000168,GM02260,TXN0026541,MENA,Sports,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-12-01
REV0000169,GM00818,TXN0009759,MENA,Food & Grocery,5,Super happy with my purchase. Fits perfectly.,Positive,2023-09-11
REV0000170,GM01696,TXN0019661,Central Asia,Food & Grocery,4,The product quality is outstanding and durable.,Positive,2023-01-26
REV0000171,GM00135,TXN0001567,Southeast Asia,Fashion,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-10-28
REV0000172,GM00724,TXN0008644,North America,Fashion,3,Decent product. Does what it says. Nothing special.,Neutral,2023-09-26
REV0000173,GM02774,TXN0032390,MENA,Beauty,4,The product quality is outstanding and durable.,Positive,2023-04-15
REV0000174,GM04435,TXN0051507,Central Asia,Food & Grocery,5,Customer service was incredibly helpful and responsive.,Positive,2023-08-03
REV0000175,GM02151,TXN0025204,Europe,Beauty,2,Very disappointed. The product broke after one week.,Negative,2023-10-08
REV0000176,GM02306,TXN0027122,MENA,Home & Garden,5,Fast delivery and excellent quality. Will buy again.,Positive,2022-12-14
REV0000177,GM04638,TXN0053878,North America,Home & Garden,3,Works fine. Packaging could be improved.,Neutral,2022-09-11
REV0000178,GM00892,TXN0010629,Southeast Asia,Sports,3,Works fine. Packaging could be improved.,Neutral,2023-04-26
REV0000179,GM03269,TXN0038176,North America,Fashion,1,Terrible customer service. Waited 3 weeks for a response.,Negative,2022-11-11
REV0000180,GM04508,TXN0052282,Central Asia,Food & Grocery,1,Delivery was extremely late and packaging was damaged.,Negative,2023-06-17
REV0000181,GM00042,TXN0000589,MENA,Sports,2,Delivery was extremely late and packaging was damaged.,Negative,2023-04-19
REV0000182,GM00263,TXN0003264,Europe,Beauty,5,Great value for money. Highly recommend to everyone.,Positive,2023-12-14
REV0000183,GM02398,TXN0028155,Central Asia,Food & Grocery,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-06-22
REV0000184,GM03879,TXN0045236,North America,Home & Garden,4,Absolutely love this product! Exceeded my expectations.,Positive,2022-03-08
REV0000185,GM01854,TXN0021485,North America,Food & Grocery,3,Average quality. Okay for the price.,Neutral,2022-12-17
REV0000186,GM03306,TXN0038622,Europe,Food & Grocery,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2023-07-15
REV0000187,GM02614,TXN0030591,North America,Electronics,4,Customer service was incredibly helpful and responsive.,Positive,2022-03-13
REV0000188,GM00079,TXN0000972,Europe,Home & Garden,5,The product quality is outstanding and durable.,Positive,2023-11-16
REV0000189,GM04419,TXN0051368,Europe,Food & Grocery,4,Fast delivery and excellent quality. Will buy again.,Positive,2022-09-28
REV0000190,GM03945,TXN0045950,Central Asia,Home & Garden,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2023-09-26
REV0000191,GM00269,TXN0003336,Europe,Food & Grocery,5,Absolutely love this product! Exceeded my expectations.,Positive,2024-01-30
REV0000192,GM01771,TXN0020590,MENA,Home & Garden,4,Great value for money. Highly recommend to everyone.,Positive,2023-01-07
REV0000193,GM02321,TXN0027270,Southeast Asia,Beauty,5,Great value for money. Highly recommend to everyone.,Positive,2022-05-20
REV0000194,GM01590,TXN0018594,North America,Sports,5,The product quality is outstanding and durable.,Positive,2023-05-08
REV0000195,GM03708,TXN0043382,Europe,Home & Garden,2,Product stopped working after a few days. Very frustrating.,Negative,2024-03-06
REV0000196,GM03742,TXN0043787,North America,Home & Garden,2,Product stopped working after a few days. Very frustrating.,Negative,2023-05-14
REV0000197,GM02772,TXN0032355,Europe,Electronics,4,Super happy with my purchase. Fits perfectly.,Positive,2024-04-14
REV0000198,GM04980,TXN0058049,Central Asia,Beauty,5,Fast delivery and excellent quality. Will buy again.,Positive,2023-01-22
REV0000199,GM04402,TXN0051160,MENA,Home & Garden,4,The product quality is outstanding and durable.,Positive,2024-04-24
REV0000200,GM00699,TXN0008332,Europe,Sports,1,Product stopped working after a few days. Very frustrating.,Negative,2023-12-04
REV0000201,GM03159,TXN0037036,North America,Fashion,3,Decent product. Does what it says. Nothing special.,Neutral,2023-06-02
REV0000202,GM00444,TXN0005396,MENA,Home & Garden,2,Very disappointed. The product broke after one week.,Negative,2023-06-29
REV0000203,GM02431,TXN0028548,North America,Home & Garden,4,Absolutely love this product! Exceeded my expectations.,Positive,2022-03-14
REV0000204,GM04523,TXN0052468,Southeast Asia,Beauty,5,The product quality is outstanding and durable.,Positive,2023-02-03
REV0000205,GM01607,TXN0018810,Central Asia,Electronics,2,Delivery was extremely late and packaging was damaged.,Negative,2022-02-04
REV0000206,GM02559,TXN0029988,Central Asia,Sports,4,The product quality is outstanding and durable.,Positive,2023-08-03
REV0000207,GM01332,TXN0015666,North America,Fashion,4,Great value for money. Highly recommend to everyone.,Positive,2023-04-13
REV0000208,GM03646,TXN0042616,Europe,Food & Grocery,3,Decent product. Does what it says. Nothing special.,Neutral,2022-07-29
REV0000209,GM01621,TXN0018970,MENA,Beauty,4,Customer service was incredibly helpful and responsive.,Positive,2022-03-23
REV0000210,GM00104,TXN0001228,MENA,Beauty,3,"Not bad, not great. Expected better for the price.",Neutral,2023-08-09
REV0000211,GM04850,TXN0056445,Central Asia,Home & Garden,4,The product quality is outstanding and durable.,Positive,2024-06-04
REV0000212,GM01714,TXN0019838,MENA,Home & Garden,5,Super happy with my purchase. Fits perfectly.,Positive,2022-02-12
REV0000213,GM01561,TXN0018304,Europe,Home & Garden,5,Customer service was incredibly helpful and responsive.,Positive,2022-08-20
REV0000214,GM01514,TXN0017732,Central Asia,Fashion,2,Would not recommend. Waste of money.,Negative,2023-02-07
REV0000215,GM02315,TXN0027190,Southeast Asia,Beauty,4,Fast delivery and excellent quality. Will buy again.,Positive,2024-01-11
REV0000216,GM02140,TXN0025008,Southeast Asia,Fashion,5,Perfect experience from browsing to delivery. 5 stars.,Positive,2023-05-05
REV0000217,GM02912,TXN0034124,Central Asia,Electronics,5,Customer service was incredibly helpful and responsive.,Positive,2023-05-17
REV0000218,GM00139,TXN0001593,Europe,Home & Garden,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-03-23
REV0000219,GM02817,TXN0032959,MENA,Fashion,5,Absolutely love this product! Exceeded my expectations.,Positive,2022-11-19
REV0000220,GM04790,TXN0055691,Europe,Electronics,3,Average quality. Okay for the price.,Neutral,2022-07-31
REV0000221,GM04110,TXN0047884,North America,Electronics,4,Great value for money. Highly recommend to everyone.,Positive,2022-10-07
REV0000222,GM02886,TXN0033776,Southeast Asia,Electronics,5,Customer service was incredibly helpful and responsive.,Positive,2022-09-25
REV0000223,GM03940,TXN0045879,MENA,Sports,5,Super happy with my purchase. Fits perfectly.,Positive,2023-02-01
REV0000224,GM00548,TXN0006483,North America,Fashion,5,The product quality is outstanding and durable.,Positive,2023-08-13
REV0000225,GM04513,TXN0052354,Central Asia,Electronics,5,Super happy with my purchase. Fits perfectly.,Positive,2023-09-19
REV0000226,GM04348,TXN0050427,North America,Home & Garden,4,Fast delivery and excellent quality. Will buy again.,Positive,2023-02-11
REV0000227,GM03443,TXN0040243,Europe,Sports,1,Terrible customer service. Waited 3 weeks for a response.,Negative,2022-09-01
REV0000228,GM01179,TXN0013864,North America,Beauty,4,Super happy with my purchase. Fits perfectly.,Positive,2022-10-21
REV0000229,GM03940,TXN0045885,MENA,Food & Grocery,4,Fast delivery and excellent quality. Will buy again.,Positive,2022-04-09
REV0000230,GM03008,TXN0035353,Central Asia,Home & Garden,5,Fast delivery and excellent quality. Will buy again.,Positive,2024-02-16
REV0000231,GM01542,TXN0018111,Central Asia,Fashion,5,Super happy with my purchase. Fits perfectly.,Positive,2024-03-21
REV0000232,GM04385,TXN0050909,Southeast Asia,Fashion,4,The product quality is outstanding and durable.,Positive,2023-11-09
REV0000233,GM00609,TXN0007206,MENA,Home & Garden,2,Very disappointed. The product broke after one week.,Negative,2024-03-04
